reference_name	gene	state	mean_expression	marker_score	marker_rank
GSE220243_broad	GALNT15	inflammatory_like	1.4130738973617554	0.5981496572494507	8
GSE220243_broad	TAF1D	inflammatory_like	1.4763188362121582	0.5915380716323853	9
GSE220243_broad	CHI3L1	inflammatory_like	1.9395687580108643	0.569072961807251	10
GSE220243_broad	DDIT4	inflammatory_like	2.5437538623809814	0.566034197807312	11
GSE220243_broad	SLPI	inflammatory_like	0.9796292781829834	0.5608513951301575	12
GSE220243_broad	MT1X	inflammatory_like	4.427511215209961	0.5115096569061279	13
GSE220243_broad	CEBPD	inflammatory_like	2.6240127086639404	0.4978923797607422	14
GSE220243_broad	ERRFI1	inflammatory_like	1.535028338432312	0.4893050193786621	15
GSE220243_broad	SNHG8	inflammatory_like	1.746039628982544	0.47115588188171387	16
GSE220243_broad	EPB41L4A-AS1	inflammatory_like	1.4756746292114258	0.4647972583770752	17
GSE220243_broad	RPS20	inflammatory_like	2.823911666870117	0.4541902542114258	18
GSE220243_broad	GABARAPL1	inflammatory_like	1.0403876304626465	0.44123387336730957	19
GSE220243_broad	HIST1H1C	inflammatory_like	0.8408263325691223	0.4317227900028229	20
GSE220243_broad	ELL2	inflammatory_like	0.8875253796577454	0.41318032145500183	21
GSE220243_broad	YBX3	inflammatory_like	2.2681689262390137	0.3949967622756958	22
GSE220243_broad	SLC25A37	inflammatory_like	1.534767985343933	0.37891173362731934	23
GSE220243_broad	DCXR	inflammatory_like	0.9552267789840698	0.3479159474372864	24
GSE220243_broad	RPL24	inflammatory_like	3.4268412590026855	0.3379189968109131	25
GSE220243_broad	UBE2B	inflammatory_like	1.4476001262664795	0.3341388702392578	26
GSE220243_broad	RHOBTB3	inflammatory_like	0.9769889712333679	0.33262550830841064	27
GSE220243_broad	IFITM2	inflammatory_like	2.169555902481079	0.33109188079833984	28
GSE220243_broad	ANP32B	inflammatory_like	1.3889293670654297	0.32785892486572266	29
GSE220243_broad	COX7C	inflammatory_like	2.0122311115264893	0.3225189447402954	30
GSE220243_broad	SNHG12	inflammatory_like	1.0838412046432495	0.3163357973098755	31
GSE220243_broad	SYF2	inflammatory_like	1.2868592739105225	0.3084625005722046	32
GSE220243_broad	EIF1	inflammatory_like	3.761302947998047	0.30440807342529297	33
GSE220243_broad	CCNB1IP1	inflammatory_like	0.9476186037063599	0.30291134119033813	34
GSE220243_broad	PHC2	inflammatory_like	0.6426052451133728	0.3017942011356354	35
GSE220243_broad	ZFAND5	inflammatory_like	1.343908429145813	0.29890143871307373	36
GSE220243_broad	TMOD1	inflammatory_like	0.5056591629981995	0.2907716631889343	37
GSE220243_broad	SLC39A14	inflammatory_like	1.543455719947815	0.2903019189834595	38
GSE220243_broad	CCDC59	inflammatory_like	0.8478662967681885	0.2902851700782776	39
GSE220243_broad	RPS11	inflammatory_like	2.9832820892333984	0.2853710651397705	40
GSE220243_broad	SERPINA3	inflammatory_like	0.4706680178642273	0.2812875509262085	41
GSE220243_broad	COPS2	inflammatory_like	0.8809456825256348	0.28109312057495117	42
GSE220243_broad	POLR1D	inflammatory_like	1.065513014793396	0.2799180746078491	43
