axis	omitted_dataset_id	omitted_tissue	baseline_evidence_grade	n_cohorts	random_effect_smd	random_effect_se	ci95_low	ci95_high	z_score	random_effect_p	tau2	i2_percent	positive_cohorts	negative_cohorts	direction_consistency	contributing_datasets	evidence_grade	grade_changed	smd_shift_from_overall	abs_smd_shift_from_overall
MSP_inflammatory_K14P10	GSE185064	meniscus	heterogeneous_or_inconsistent	8	-1.0883220257916346	0.4850306088002688	-2.0389820190401613	-0.13766203254310772	-2.243821330129282	0.024843899433515844	1.5358479640661413	86.21687375257397	2	6	0.75	GSE114007,GSE143514,GSE169077,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_signal	True	-0.11886769379321338	0.11886769379321338
MSP_inflammatory_K14P10	GSE191157	meniscus	heterogeneous_or_inconsistent	8	-0.974241411763878	0.4843863471344267	-1.9236386521473543	-0.024844171380401736	-2.0112899909904085	0.044294835093746994	1.53877120627049	86.36048160490702	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_signal	True	-0.004787079765456781	0.004787079765456781
MSP_inflammatory_K14P10	GSE55235	synovium	heterogeneous_or_inconsistent	8	-0.7168820123855348	0.42300435907512296	-1.545970556172776	0.11220653140170611	-1.6947390659353017	0.09012493129529284	1.0887547790200083	81.47654638615678	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.2525723196128864	0.2525723196128864
MSP_inflammatory_K14P10	GSE55457	synovium	heterogeneous_or_inconsistent	8	-0.8373094590025554	0.4679973805675262	-1.754584324914907	0.07996540690979603	-1.7891327895621458	0.07359343258092652	1.3857672975786954	84.34380379183843	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.13214487299586586	0.13214487299586586
MSP_inflammatory_K14P10	GSE89408	synovium	heterogeneous_or_inconsistent	8	-1.1922329003670475	0.4239887558016513	-2.0232508617382843	-0.36121493899581103	-2.8119446189388877	0.004924298100508039	1.0423097025301424	76.02555622340884	2	6	0.75	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE98918	heterogeneous_signal	True	-0.2227785683686263	0.2227785683686263
MSP_inflammatory_K14P10	GSE98918	meniscus	heterogeneous_or_inconsistent	8	-1.1293007197059965	0.5073237670808335	-2.1236553031844303	-0.1349461362275629	-2.2259960857029224	0.0260144436069643	1.6675423515048742	85.44734247600778	2	6	0.75	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408	heterogeneous_signal	True	-0.1598463877075753	0.1598463877075753
MSP_paracrine_K12P8	GSE114007	cartilage	heterogeneous_or_inconsistent	8	-0.2720971649865915	0.3748408044971749	-1.0067851418010543	0.46259081182787126	-0.7259006002604026	0.46789970850832674	0.7892387039119096	74.92729356852816	4	4	0.5	GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.20873203663987883	0.20873203663987883
MSP_paracrine_K12P8	GSE143514	cartilage	heterogeneous_or_inconsistent	8	-0.3838836437775698	0.4270829772422229	-1.2209662791723266	0.453198991617187	-0.8988502568198772	0.36873242663716366	1.176602519291092	84.00814726934621	4	4	0.5	GSE114007,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.09694555784890052	0.09694555784890052
MSP_paracrine_K12P8	GSE169077	cartilage	heterogeneous_or_inconsistent	8	-0.5430562601535257	0.4444547238578427	-1.4141875189148974	0.32807499860784595	-1.2218483256063228	0.22176498975129266	1.2636916511363288	84.34082276098623	3	5	0.625	GSE114007,GSE143514,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.0622270585270554	0.0622270585270554
MSP_paracrine_K12P8	GSE185064	meniscus	heterogeneous_or_inconsistent	8	-0.5945675803042181	0.4304666681677348	-1.4382822499129784	0.2491470893045422	-1.3812163037732343	0.16721246327775274	1.184040076929495	83.85780514255174	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.11373837867774778	0.11373837867774778
