fibro_leiden	program_gene_rank	gene	present	score	logfoldchanges	pvals_adj
15	24	SMIM14	True	42.03916	2.0550802	0.0
15	25	S100A6	True	41.977493	1.3232772	0.0
15	26	CREB5	True	41.25377	2.2849042	0.0
15	27	SEMA3C	True	40.44356	2.6136982	5.2404875309034105e-295
15	28	TSPAN15	True	39.607334	4.0698595	8.369644723663101e-267
15	29	PPP1R14B	True	39.1515	1.9789685	2.062288892452083e-283
15	30	ANXA2	True	38.98313	1.4148185	5.341283588120375e-273
16	1	CHI3L2	True	109.106	4.556934	0.0
16	2	CTGF	True	80.20767	2.9355068	0.0
16	3	C2orf40	True	76.35273	2.4699492	0.0
16	4	LUM	True	60.421467	1.6038694	0.0
16	5	SCRG1	True	59.077454	1.9079772	0.0
16	6	FN1	True	57.708984	1.8329371	0.0
16	7	MIA	True	50.412388	2.4144082	0.0
16	8	FMOD	True	49.42464	1.3359903	0.0
16	9	ACAN	True	48.042805	1.7315066	0.0
16	10	MINOS1	True	47.57241	1.5532488	0.0
16	11	AEBP1	True	44.196354	1.3223739	0.0
16	12	CLU	True	43.94748	1.0883102	0.0
16	13	BGN	True	43.571274	1.051555	0.0
16	14	LTBP2	True	43.293076	1.4595664	0.0
16	15	HTRA1	True	43.185577	1.3599864	0.0
16	16	MGP	True	42.91616	1.12553	0.0
16	17	RPS21	True	42.604664	0.842206	0.0
16	18	RMRP	True	41.0463	2.3457923	0.0
16	19	RPS10	True	41.032238	1.0067601	0.0
16	20	OGN	True	39.54006	1.4908067	0.0
16	21	SMOC2	True	39.51629	1.7117077	0.0
16	22	MT2A	True	39.128605	1.184138	0.0
16	23	CYR61	True	38.916195	1.3611323	0.0
16	24	SOD3	True	38.303455	0.94761133	1.3404824840970272e-303
16	25	ANK3	True	36.533283	1.4364583	2.6471236790612254e-276
16	26	SRGN	True	36.31239	1.9211828	7.881701640920887e-272
16	27	DCN	True	35.744545	0.6519642	1.421240617619515e-264
16	28	AL078639.1	True	35.739983	1.3187954	6.600043736497403e-266
16	29	NRP2	True	35.214367	1.2337036	4.960215025545873e-258
16	30	TNC	True	35.109257	1.5111388	7.354223365994967e-257
17	1	COL1A1	True	73.20599	4.115484	0.0
17	2	COL1A2	True	70.72044	3.1376202	0.0
17	3	COL3A1	True	69.34732	3.6911058	0.0
17	4	TGFBI	True	68.39043	3.4766057	0.0
17	5	SPARC	True	65.19182	2.7767582	0.0
17	6	COL5A2	True	63.65147	2.7008746	0.0
17	7	TNC	True	60.396656	2.8928285	0.0
17	8	COL5A1	True	56.846535	2.6414409	0.0
17	9	MXRA5	True	56.775547	2.9811873	0.0
17	10	ASPN	True	55.670124	2.7121239	0.0
17	11	DPT	True	55.036503	2.6381314	0.0
17	12	COL6A1	True	54.777893	2.0157366	0.0
17	13	ITGB1	True	51.72034	1.745339	0.0
17	14	AEBP1	True	50.893864	1.9975277	0.0
17	15	COL6A2	True	50.75296	1.7645535	0.0
17	16	COL6A3	True	50.715706	2.2342556	0.0
17	17	ANGPTL2	True	50.658936	1.9411718	0.0
17	18	LGALS1	True	48.588005	1.8295882	0.0
17	19	DKK3	True	48.403294	2.381647	0.0
17	20	THY1	True	46.246357	2.5714638	0.0
17	21	CCND1	True	45.785885	2.6909041	0.0
17	22	HTRA1	True	45.320675	1.8394331	0.0
17	23	NBL1	True	44.91848	1.8202642	0.0
17	24	TPM1	True	44.499702	2.1327293	0.0
17	25	BGN	True	44.178673	1.4320716	0.0
17	26	FNDC1	True	44.06311	2.8195791	0.0
17	27	FN1	True	42.472153	1.9058989	0.0
17	28	EDIL3	True	41.75638	1.6925873	0.0
17	29	TMSB4X	True	41.71694	1.6261612	0.0
17	30	AQP1	True	41.546165	2.1214387	0.0
18	1	FMOD	True	106.22901	2.4799817	0.0
18	2	SCRG1	True	100.89177	2.8559394	0.0
18	3	CILP2	True	89.2727	2.762882	0.0
18	4	MGP	True	85.26992	2.0094	0.0
18	5	COL2A1	True	83.32911	3.906997	0.0
18	6	CTGF	True	81.46924	2.8667645	0.0
18	7	SBSPON	True	80.52076	3.1020854	0.0
18	8	CILP	True	77.98515	2.4845953	0.0
18	9	HTRA1	True	76.282814	2.306971	0.0
18	10	BGN	True	75.85709	1.6680068	0.0
18	11	PRELP	True	75.615265	1.7964054	0.0
18	12	FIBIN	True	72.015495	2.1122072	0.0
18	13	SCX	True	71.08958	2.0904841	0.0
18	14	C2orf40	True	70.21386	2.2077088	0.0
18	15	SPARC	True	68.03386	2.008332	0.0
18	16	COMP	True	67.99207	2.1155844	0.0
18	17	LUM	True	67.546165	1.7274739	0.0
18	18	TSPAN2	True	67.2474	2.3492398	0.0
18	19	OGN	True	66.35277	2.1906116	0.0
18	20	ACAN	True	65.78397	2.1458275	0.0
18	21	S100A1	True	65.37003	2.5575724	0.0
18	22	NDUFA4L2	True	65.3443	1.5156951	0.0
18	23	CLEC3A	True	64.82034	3.7631505	0.0
18	24	SERPINA1	True	64.79163	2.144981	0.0
18	25	C9orf3	True	62.350056	1.770971	0.0
18	26	PRDX4	True	61.499004	1.4302619	0.0
18	27	COL9A3	True	60.92846	3.1465032	0.0
18	28	FXYD6	True	60.651	1.5884564	0.0
18	29	SMOC2	True	59.66337	2.256207	0.0
18	30	P4HB	True	59.35637	1.3039669	0.0
2	1	SNHG6	True	91.327065	3.8532665	0.0
2	2	GAS5	True	87.732376	3.8519065	0.0
2	3	RPL17	True	80.848114	3.835446	0.0
2	4	SNHG5	True	78.02029	3.5207968	0.0
2	5	GABARAP	True	72.77942	3.1653676	0.0
