sample_id	sample_title	source_name	series_title	platform_id	age	sex	bmi	disease_state	dataset_id	tissue	condition	contrast_group	score_Fibrocartilage_matrix	score_Fibrotic_remodeling	score_MSP_paracrine	score_MSP_angiogenic	score_MSP_inflammatory	score_MSP_paracrine_consensus	score_MSP_interface_matrix_fibrotic	primary_oa_normal	gse89408_oa_normal_sensitivity	gse98918_oa_apm_exploratory	gse191157_aged_young_exploratory
GSM5176139	N4	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				NORMAL CARTILAGE	GSE169077	cartilage	normal	normal	0.1922730588306675	0.4808780691499936	1.2014419146437028	1.2173652534839778	1.829958283630772	1.2988987499258071	0.6731511279806611	True	False	False	False
GSM5176140	N6	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				NORMAL CARTILAGE	GSE169077	cartilage	normal	normal	-0.0828931614741917	-0.9246321388479468	-0.0493322885994071	0.095294904632287	-0.06512757757602	0.0451067082675095	-1.0075253003221385	True	False	False	False
GSM5176141	N7	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				NORMAL CARTILAGE	GSE169077	cartilage	normal	normal	-0.331503608720622	-0.5569958311870974	-0.8625655341279305	-0.5556712870185478	-0.9164215635633888	-0.639566987502389	-0.8884994399077194	True	False	False	False
GSM5176142	N8	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				NORMAL CARTILAGE	GSE169077	cartilage	normal	normal	-0.0735882523741527	-0.8368600894731172	-0.0146006609880782	-0.0341971286275409	-0.1607909509521541	0.0088740289617157	-0.9104483418472699	True	False	False	False
GSM5176143	OA2	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				LATE STAGE OA CARTILAGE	GSE169077	cartilage	OA	OA	0.1277195646861478	0.721733054168468	0.3959158343599536	0.3767239701223954	0.5344671643996669	0.3200041599932236	0.8494526188546159	True	False	False	False
GSM5176144	OA3	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				LATE STAGE OA CARTILAGE	GSE169077	cartilage	OA	OA	0.5266717242877438	0.5947246960557	-0.0388369956612961	-0.2898326486401665	0.0299843955980027	-0.1946021848562126	1.121396420343444	True	False	False	False
GSM5176145	OA8	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				LATE STAGE OA CARTILAGE	GSE169077	cartilage	OA	OA	0.0994506991987701	1.5005867689082288	0.7298407010860583	0.789283850936824	0.6813913941677087	0.7869991813041841	1.6000374681069989	True	False	False	False
GSM5176146	OA9	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				LATE STAGE OA CARTILAGE	GSE169077	cartilage	OA	OA	0.4389526024205455	0.332822336263088	-0.0390640770088497	-0.0551987273259108	-0.2832914091393601	-0.0904717747552982	0.7717749386836334	True	False	False	False
GSM5176147	OA10	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				LATE STAGE OA CARTILAGE	GSE169077	cartilage	OA	OA	0.7478953059972363	0.6147814121537032	0.1159525592757104	-0.0661742809458591	-0.0687467548782476	-0.0290292807755169	1.3626767181509396	True	False	False	False
GSM5176148	OA11	KNEE CARTILAGE	Dysregulated gene expression in human osteoarthritis cartilage	GPL96				LATE STAGE OA CARTILAGE	GSE169077	cartilage	OA	OA	0.0812092898657327	-0.2759446313290681	-1.057215788214498	-1.2044276884135707	-1.0945521706360404	-1.2208914697207534	-0.1947353414633354	True	False	False	False
