reference_name	dataset_id	sample_id	tissue	condition	subtype_id	subtype_label	state	fraction	n_genes_used	reconstruction_rmse
GSE220243_broad	GSE114007	OA_04	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.15369611855766613	405	1.7892652037835912
GSE220243_broad	GSE114007	OA_04	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.7892652037835912
GSE220243_broad	GSE114007	OA_04	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.7892652037835912
GSE220243_broad	GSE114007	OA_04	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.0	405	1.7892652037835912
GSE220243_broad	GSE114007	OA_04	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.8463038814423338	405	1.7892652037835912
GSE220243_broad	GSE114007	OA_04	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.7892652037835912
GSE220243_broad	GSE114007	OA_05	cartilage	OA	S1	ECM_fibrotic_high	endothelial	0.0	405	1.8800201542030324
GSE220243_broad	GSE114007	OA_05	cartilage	OA	S1	ECM_fibrotic_high	fibrochondrocyte_core	0.11537264048995541	405	1.8800201542030324
GSE220243_broad	GSE114007	OA_05	cartilage	OA	S1	ECM_fibrotic_high	immune_myeloid	0.0	405	1.8800201542030324
GSE220243_broad	GSE114007	OA_05	cartilage	OA	S1	ECM_fibrotic_high	inflammatory_like	0.0	405	1.8800201542030324
GSE220243_broad	GSE114007	OA_05	cartilage	OA	S1	ECM_fibrotic_high	mural_smooth_muscle	0.15801052590940134	405	1.8800201542030324
GSE220243_broad	GSE114007	OA_05	cartilage	OA	S1	ECM_fibrotic_high	outer_fibrous_like	0.7266168336006432	405	1.8800201542030324
GSE220243_broad	GSE114007	OA_05	cartilage	OA	S1	ECM_fibrotic_high	t_nk	0.0	405	1.8800201542030324
GSE220243_broad	GSE114007	OA_06	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.8496892406650745
GSE220243_broad	GSE114007	OA_06	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.7123619323377761	405	1.8496892406650745
GSE220243_broad	GSE114007	OA_06	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.8496892406650745
GSE220243_broad	GSE114007	OA_06	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.8496892406650745
GSE220243_broad	GSE114007	OA_06	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.2561277419412373	405	1.8496892406650745
GSE220243_broad	GSE114007	OA_06	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.03151032572098662	405	1.8496892406650745
GSE220243_broad	GSE114007	OA_06	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.8496892406650745
GSE220243_broad	GSE114007	OA_07	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.9274525509760332
GSE220243_broad	GSE114007	OA_07	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.47756426538173097	405	1.9274525509760332
GSE220243_broad	GSE114007	OA_07	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.9274525509760332
GSE220243_broad	GSE114007	OA_07	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.9274525509760332
GSE220243_broad	GSE114007	OA_07	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.05455261498338889	405	1.9274525509760332
GSE220243_broad	GSE114007	OA_07	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.46788311963488033	405	1.9274525509760332
GSE220243_broad	GSE114007	OA_07	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.9274525509760332
GSE220243_broad	GSE114007	OA_08	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.801355353407647
GSE220243_broad	GSE114007	OA_08	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.7864686858251531	405	1.801355353407647
GSE220243_broad	GSE114007	OA_08	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.801355353407647
GSE220243_broad	GSE114007	OA_08	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.801355353407647
GSE220243_broad	GSE114007	OA_08	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.21353131417484683	405	1.801355353407647
GSE220243_broad	GSE114007	OA_08	cartilage	OA	S2	mixed_low	outer_fibrous_like	0.0	405	1.801355353407647
GSE220243_broad	GSE114007	OA_08	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.801355353407647
GSE220243_broad	GSE114007	OA_09	cartilage	OA	S2	mixed_low	endothelial	0.0	405	1.8116604511601575
GSE220243_broad	GSE114007	OA_09	cartilage	OA	S2	mixed_low	fibrochondrocyte_core	0.0	405	1.8116604511601575
GSE220243_broad	GSE114007	OA_09	cartilage	OA	S2	mixed_low	immune_myeloid	0.0	405	1.8116604511601575
GSE220243_broad	GSE114007	OA_09	cartilage	OA	S2	mixed_low	inflammatory_like	0.0	405	1.8116604511601575
GSE220243_broad	GSE114007	OA_09	cartilage	OA	S2	mixed_low	mural_smooth_muscle	0.0	405	1.8116604511601575
GSE220243_broad	GSE114007	OA_09	cartilage	OA	S2	mixed_low	outer_fibrous_like	1.0	405	1.8116604511601575
GSE220243_broad	GSE114007	OA_09	cartilage	OA	S2	mixed_low	t_nk	0.0	405	1.8116604511601575
GSE220243_broad	GSE114007	OA_10	cartilage	OA	S1	ECM_fibrotic_high	endothelial	0.0	405	1.8541581907681293
GSE220243_broad	GSE114007	OA_10	cartilage	OA	S1	ECM_fibrotic_high	fibrochondrocyte_core	0.3616723318236093	405	1.8541581907681293
GSE220243_broad	GSE114007	OA_10	cartilage	OA	S1	ECM_fibrotic_high	immune_myeloid	0.0	405	1.8541581907681293
GSE220243_broad	GSE114007	OA_10	cartilage	OA	S1	ECM_fibrotic_high	inflammatory_like	0.0	405	1.8541581907681293
GSE220243_broad	GSE114007	OA_10	cartilage	OA	S1	ECM_fibrotic_high	mural_smooth_muscle	0.008105954877097593	405	1.8541581907681293
GSE220243_broad	GSE114007	OA_10	cartilage	OA	S1	ECM_fibrotic_high	outer_fibrous_like	0.6302217132992931	405	1.8541581907681293
GSE220243_broad	GSE114007	OA_10	cartilage	OA	S1	ECM_fibrotic_high	t_nk	0.0	405	1.8541581907681293
HRA001986_chondrocyte	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	Ch_1_CHAD	0.0	406	2.0134633222113894
HRA001986_chondrocyte	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	Ch_2_FNDC1	0.26725113868746597	406	2.0134633222113894
HRA001986_chondrocyte	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	Ch_3_PRG4	0.28134578821659784	406	2.0134633222113894
HRA001986_chondrocyte	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	Ch_4_CFD	0.0	406	2.0134633222113894
HRA001986_chondrocyte	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	Ch_5_cycling	0.45140307309593625	406	2.0134633222113894
HRA001986_chondrocyte	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	PCL_1	0.0	406	2.0134633222113894
HRA001986_chondrocyte	GSE114007	OA_Cart_1_7	cartilage	OA	S1	ECM_fibrotic_high	PCL_2	0.0	406	2.0134633222113894
HRA001986_chondrocyte	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	Ch_1_CHAD	0.0	406	1.8465074547835614
HRA001986_chondrocyte	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	Ch_2_FNDC1	0.814374165261907	406	1.8465074547835614
HRA001986_chondrocyte	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	Ch_3_PRG4	0.08043658481397098	406	1.8465074547835614
HRA001986_chondrocyte	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	Ch_4_CFD	0.0	406	1.8465074547835614
HRA001986_chondrocyte	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	Ch_5_cycling	0.10518924992412212	406	1.8465074547835614
HRA001986_chondrocyte	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	PCL_1	0.0	406	1.8465074547835614
HRA001986_chondrocyte	GSE114007	OA_Cart_10_9	cartilage	OA	S2	mixed_low	PCL_2	0.0	406	1.8465074547835614
HRA001986_chondrocyte	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	Ch_1_CHAD	0.0	406	2.0557961602473824
HRA001986_chondrocyte	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	Ch_2_FNDC1	0.7397590493905903	406	2.0557961602473824
HRA001986_chondrocyte	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	Ch_3_PRG4	0.0	406	2.0557961602473824
HRA001986_chondrocyte	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	Ch_4_CFD	0.23727036391902323	406	2.0557961602473824
HRA001986_chondrocyte	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	Ch_5_cycling	0.022970586690386464	406	2.0557961602473824
HRA001986_chondrocyte	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	PCL_1	0.0	406	2.0557961602473824
HRA001986_chondrocyte	GSE114007	OA_Cart_2_8	cartilage	OA	S2	mixed_low	PCL_2	0.0	406	2.0557961602473824
HRA001986_chondrocyte	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	Ch_1_CHAD	0.0	406	1.936715441615668
HRA001986_chondrocyte	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	Ch_2_FNDC1	0.6500757313947849	406	1.936715441615668
HRA001986_chondrocyte	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	Ch_3_PRG4	0.03301890163160346	406	1.936715441615668
HRA001986_chondrocyte	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	Ch_4_CFD	0.0	406	1.936715441615668
HRA001986_chondrocyte	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	Ch_5_cycling	0.3169053669736116	406	1.936715441615668
HRA001986_chondrocyte	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	PCL_1	0.0	406	1.936715441615668
HRA001986_chondrocyte	GSE114007	OA_Cart_3_9	cartilage	OA	S2	mixed_low	PCL_2	0.0	406	1.936715441615668
HRA001986_chondrocyte	GSE114007	OA_Cart_4_10	cartilage	OA	S2	mixed_low	Ch_1_CHAD	0.0	406	2.0894019181796555
HRA001986_chondrocyte	GSE114007	OA_Cart_4_10	cartilage	OA	S2	mixed_low	Ch_2_FNDC1	0.3160526285767694	406	2.0894019181796555
HRA001986_chondrocyte	GSE114007	OA_Cart_4_10	cartilage	OA	S2	mixed_low	Ch_3_PRG4	0.1353139648753556	406	2.0894019181796555
HRA001986_chondrocyte	GSE114007	OA_Cart_4_10	cartilage	OA	S2	mixed_low	Ch_4_CFD	0.0	406	2.0894019181796555
HRA001986_chondrocyte	GSE114007	OA_Cart_4_10	cartilage	OA	S2	mixed_low	Ch_5_cycling	0.5486334065478751	406	2.0894019181796555
HRA001986_chondrocyte	GSE114007	OA_Cart_4_10	cartilage	OA	S2	mixed_low	PCL_1	0.0	406	2.0894019181796555
HRA001986_chondrocyte	GSE114007	OA_Cart_4_10	cartilage	OA	S2	mixed_low	PCL_2	0.0	406	2.0894019181796555
HRA001986_chondrocyte	GSE114007	OA_Cart_5_5	cartilage	OA	S1	ECM_fibrotic_high	Ch_1_CHAD	0.0	406	2.015909077511234
HRA001986_chondrocyte	GSE114007	OA_Cart_5_5	cartilage	OA	S1	ECM_fibrotic_high	Ch_2_FNDC1	0.49018334482835535	406	2.015909077511234
HRA001986_chondrocyte	GSE114007	OA_Cart_5_5	cartilage	OA	S1	ECM_fibrotic_high	Ch_3_PRG4	0.0	406	2.015909077511234
HRA001986_chondrocyte	GSE114007	OA_Cart_5_5	cartilage	OA	S1	ECM_fibrotic_high	Ch_4_CFD	0.0	406	2.015909077511234
HRA001986_chondrocyte	GSE114007	OA_Cart_5_5	cartilage	OA	S1	ECM_fibrotic_high	Ch_5_cycling	0.5098166551716447	406	2.015909077511234
HRA001986_chondrocyte	GSE114007	OA_Cart_5_5	cartilage	OA	S1	ECM_fibrotic_high	PCL_1	0.0	406	2.015909077511234
HRA001986_chondrocyte	GSE114007	OA_Cart_5_5	cartilage	OA	S1	ECM_fibrotic_high	PCL_2	0.0	406	2.015909077511234
HRA001986_chondrocyte	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	Ch_1_CHAD	0.0	406	1.9918757430393172
HRA001986_chondrocyte	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	Ch_2_FNDC1	0.7272470431570689	406	1.9918757430393172
HRA001986_chondrocyte	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	Ch_3_PRG4	0.27275295684293105	406	1.9918757430393172
HRA001986_chondrocyte	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	Ch_4_CFD	0.0	406	1.9918757430393172
HRA001986_chondrocyte	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	Ch_5_cycling	0.0	406	1.9918757430393172
HRA001986_chondrocyte	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	PCL_1	0.0	406	1.9918757430393172
HRA001986_chondrocyte	GSE114007	OA_Cart_6_1	cartilage	OA	S2	mixed_low	PCL_2	0.0	406	1.9918757430393172
HRA001986_chondrocyte	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	Ch_1_CHAD	0.0	406	1.9333299801373305
HRA001986_chondrocyte	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	Ch_2_FNDC1	0.8761893419141192	406	1.9333299801373305
HRA001986_chondrocyte	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	Ch_3_PRG4	0.12381065808588082	406	1.9333299801373305
HRA001986_chondrocyte	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	Ch_4_CFD	0.0	406	1.9333299801373305
HRA001986_chondrocyte	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	Ch_5_cycling	0.0	406	1.9333299801373305
HRA001986_chondrocyte	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	PCL_1	0.0	406	1.9333299801373305
HRA001986_chondrocyte	GSE114007	OA_Cart_7_2	cartilage	OA	S1	ECM_fibrotic_high	PCL_2	0.0	406	1.9333299801373305
HRA001986_chondrocyte	GSE114007	OA_Cart_8_5	cartilage	OA	S1	ECM_fibrotic_high	Ch_1_CHAD	0.0	406	1.9300441055737534
HRA001986_chondrocyte	GSE114007	OA_Cart_8_5	cartilage	OA	S1	ECM_fibrotic_high	Ch_2_FNDC1	0.7615736346957099	406	1.9300441055737534
