gene	n_datasets	n_tissues	tissues	weighted_delta_s1_minus_s2	stouffer_z	p_value	n_positive_datasets	n_negative_datasets	fdr	evidence_tier
EBF2	3	2	cartilage;synovium	0.30081264320799933	0.9052466086076845	0.3653347548215643	2	1	0.8397245748191201	candidate_S1_high
RASGEF1B	2	2	cartilage;synovium	0.4564056150180679	0.9052241667898838	0.36534664139140893	2	0	0.8397245748191201	candidate_S1_high
RASL11B	3	1	synovium	0.34932953542096284	0.9049818407877609	0.3654750075583256	2	1	0.8397245748191201	candidate_S1_high
DBF4	3	1	synovium	0.24526768399872798	0.9048186972396202	0.36556144464913043	3	0	0.8397245748191201	candidate_S1_high
ZNF532	2	1	synovium	0.4389092237647707	0.9041436878021116	0.36591921532192584	1	1	0.8397245748191201	mixed_or_weak
APLP1	2	2	cartilage;synovium	0.287684560004034	0.9036515978398352	0.3661801720814023	2	0	0.8397245748191201	candidate_S1_high
EDN2	3	2	cartilage;synovium	0.46319972943284377	0.9033855786432693	0.3663212911794542	3	0	0.8397245748191201	candidate_S1_high
SBSN	3	3	cartilage;meniscus;synovium	0.2221003466522927	0.9031697183040355	0.3664358267016987	2	1	0.8397245748191201	candidate_S1_high
CELA2A	3	2	cartilage;synovium	0.3473486646352123	0.9026112647103361	0.36673224586629827	3	0	0.8397245748191201	candidate_S1_high
PRIM2	2	1	synovium	0.5099379118190966	0.9021035200405572	0.3670018791739881	2	0	0.8397245748191201	candidate_S1_high
LINC00623	2	1	synovium	0.296613719733269	0.9021035200405572	0.3670018791739881	1	1	0.8397245748191201	mixed_or_weak
SLC16A14	2	2	meniscus;synovium	0.1839321756694513	0.9019439144751502	0.36708666181436356	1	1	0.8397245748191201	mixed_or_weak
LNC-SNX24-1	1	1	meniscus	1.14707445195633	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
GXYLT2	1	1	meniscus	1.0080740703134632	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
GLUD1	1	1	meniscus	0.997131105382276	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
MYADM	1	1	meniscus	0.9441589141765896	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-JAM3-2	1	1	meniscus	0.9418703281519127	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-SLC24A5-2	1	1	meniscus	0.9149167987316046	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
TANC1	1	1	meniscus	0.9064663962345346	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LINC01203	1	1	meniscus	0.896556373407086	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-FGF9-2	1	1	meniscus	0.8759961865437761	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-CHL1-2	1	1	meniscus	0.8672608818414841	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
ZNF846	1	1	meniscus	0.8620637166023656	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-UBE3C-1	1	1	meniscus	0.8460797747768063	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
SLC25A39	1	1	meniscus	0.8312452705868226	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
CGGBP1	1	1	meniscus	0.8170304146933667	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-LEO1-4	1	1	meniscus	0.8139382006844293	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
GTF2H2C_2	1	1	meniscus	0.8114124476265212	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
XLOC_L2_001569	1	1	meniscus	0.7979225409483609	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-TMPRSS11E-1	1	1	meniscus	0.7953440993122343	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LINC00226	1	1	meniscus	0.7920717173866785	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-COL9A2-1	1	1	meniscus	0.7828476888908392	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
XLOC_L2_010370	1	1	meniscus	0.7775619790732516	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LOC101929095	1	1	meniscus	0.7743998004156152	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-CYB5D2-2	1	1	meniscus	0.7726919486695605	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
XLOC_L2_012035	1	1	meniscus	0.7706743524950261	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
SLAIN2	1	1	meniscus	0.7478884889364503	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
MATN2	1	1	meniscus	0.7444523671261288	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-BTG2-2	1	1	meniscus	0.7369307094239683	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-GABARAPL1-1	1	1	meniscus	0.7343676687561069	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-RP11-389E17.1.1-3	1	1	meniscus	0.7302465638904477	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-POC5-1	1	1	meniscus	0.7209093374448019	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-RNFT2-1	1	1	meniscus	0.7164967824193467	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-ADCY2-4	1	1	meniscus	0.7161360168276334	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
ZNF638-IT1	1	1	meniscus	0.7148269485655795	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LINC00205	1	1	meniscus	0.7086488796320056	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-ROBO3-1	1	1	meniscus	0.7032549367070504	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-STAT1-1	1	1	meniscus	0.7022675165454828	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
ANXA5	1	1	meniscus	0.7021873220935198	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LOC101929350	1	1	meniscus	0.7013038761901309	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
CETN2	1	1	meniscus	0.6996759365949041	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
TMSB4X	1	1	meniscus	0.6978874546178521	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
IRF2BPL	1	1	meniscus	0.6922239951771325	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
KIAA0895L	1	1	meniscus	0.6897778993303781	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
GSTO1	1	1	meniscus	0.6798634756226286	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LOC101927869	1	1	meniscus	0.6793056744354585	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
SMIM19	1	1	meniscus	0.6772872876988587	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
NF2	1	1	meniscus	0.6724267492379473	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
SMC5-AS1	1	1	meniscus	0.659464378436059	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
NLN	1	1	meniscus	0.6561047477243181	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-CBX2-1	1	1	meniscus	0.6556666049586228	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
XLOC_L2_007566	1	1	meniscus	0.6530026386785885	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-C10ORF96-1	1	1	meniscus	0.6526724434766591	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
RTN4	1	1	meniscus	0.650134961432294	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-ULBP2-1	1	1	meniscus	0.6447525891849994	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-M6PR-3	1	1	meniscus	0.63702686354617	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
XLOC_L2_005198	1	1	meniscus	0.6342935443234858	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LOC221814	1	1	meniscus	0.632460004362625	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-PCLO-1	1	1	meniscus	0.6299035054304377	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-CDKL5-1	1	1	meniscus	0.6241979315045323	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-HMGA1-3	1	1	meniscus	0.6230843090205693	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-SHFM1-1	1	1	meniscus	0.6208061713211513	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
MBD4	1	1	meniscus	0.6201054667040143	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-HMGB2-1	1	1	meniscus	0.6083675526018345	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
SPATA18	1	1	meniscus	0.600162582198027	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-LTBP3-3	1	1	meniscus	0.5974097791587519	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
SH3D19	1	1	meniscus	0.595901254141342	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
LNC-SCEL-1	1	1	meniscus	0.5929723780947183	0.9008336603785865	0.3676767676767677	1	0	0.8397245748191201	mixed_or_weak
