k	program	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected
14	5	0.0710018003299043	0.0013049014546143288	0.4290485158639912	MenNorm6	0.1871841809189265	OA	0.5147264159212622	14
14	6	0.07161263617545795	0.00334951604453485	0.3895552501067569	MenNorm1VAS	0.26437219649811033	normal	0.8584481652844002	14
14	7	0.06338679136608157	0.013674880944398718	0.29262247759274423	MenOA1	0.19845846242874132	OA	0.7619482128834258	14
14	8	0.05827891047009633	0.0004487537128458922	0.4181136092848061	MenNorm6	0.2484270619599842	normal	0.5690664927262417	14
14	9	0.05660664727625768	0.0025276421267954427	0.3061130197767323	MenNorm5	0.3449363485263837	normal	0.8059548931928247	14
14	10	0.059022964315645673	0.028051900966515164	0.22379894001065043	MenOA5	0.13829374369319442	normal	0.622033726170916	14
14	11	0.05488120403657191	0.0013081701744213597	0.2859186691154862	MenOA1	0.14623331208703197	OA	0.6846637208146719	14
14	12	0.015722371029018863	0.0	0.08377106945470716	MenNorm6	0.16105678183786026	normal	0.6201406491503132	14
14	13	0.003978646204547366	0.0	0.014112232863598233	MenOA4	0.25474078548667034	OA	0.6486660078622064	14
14	14	0.0017367216128405564	0.0	0.0067403650589311715	MenOA1	0.14864410726857352	OA	0.523178469479708	14
16	1	0.12111499930249058	0.08349268534580577	0.39993514026962784	MenOA5	0.12982634322053835	OA	0.5966248280776962	14
16	2	0.13304438800683802	0.04583789014426727	0.6034108579400649	MenNorm4	0.22893303799348663	normal	0.8265178084805711	14
16	3	0.12453520145919306	0.07044926686607661	0.4589079494690001	MenNorm3	0.2468007743067866	normal	0.6867684497848958	14
16	4	0.088707687326399	0.003984457645718685	0.5059869064531641	MenNorm6	0.15378848820668156	normal	0.5532485087344942	14
16	5	0.10138571184050094	0.028102959472043103	0.41530992032777375	MenOA1	0.19096360701591716	OA	0.72355954321875	14
16	6	0.08393451972957877	0.013977651686774183	0.41808989212753533	MenNorm1VAS	0.3081790231563661	normal	0.9027481715122645	14
16	7	0.06958997443998265	0.01584441074057495	0.2998751600010455	MenNorm7	0.24896920629627328	normal	0.6660808087258508	14
16	8	0.054576533771720566	0.0	0.3989278120087118	MenNorm6	0.2579419688419791	normal	0.5718386093311563	14
16	9	0.05582641418683459	0.025772780704170696	0.21273905239567462	MenOA5	0.13423507156565223	normal	0.6198970420642778	14
16	10	0.04865807902454451	0.004468803613153466	0.23551593366769713	MenOA1	0.21664935991042977	OA	0.7745342398161373	14
16	11	0.044922267894642834	0.0	0.26426706843060294	MenNorm5	0.39706378445852286	normal	0.7742538314664787	14
16	12	0.05168258833110623	0.0	0.27459696579601733	MenOA1	0.1482300349054631	OA	0.6991424620642952	14
16	13	0.015120313891157597	0.0	0.07890477096434322	MenNorm6	0.1595890968200919	normal	0.6375362648444457	14
16	14	0.0031122349031880614	0.0	0.011896485327762926	MenOA4	0.24354825527009782	OA	0.6583500872774004	14
16	15	0.0016514827834070952	0.0	0.006409759634421191	MenOA1	0.15058884600826536	OA	0.5190256625198371	14
16	16	0.0021376031084154967	0.0	0.007688358915937438	MenOA4	0.22870586599553158	OA	0.587796737567786	14
18	1	0.12606911202639923	0.09044912772889997	0.40403346698862813	MenOA5	0.11576093022539256	OA	0.5836511887630365	14
18	2	0.13459273352728074	0.07229370130893872	0.5068850076571616	MenNorm3	0.24173330516505812	normal	0.6779732587796354	14
18	3	0.11753428065351464	0.03401477003281393	0.5612693280433511	MenNorm4	0.23775005717882094	normal	0.8386263168499531	14
18	4	0.0788286358827415	0.01284811990295292	0.38971006472090886	MenNorm1VAS	0.3180699144304271	normal	0.9093764617380256	14
18	5	0.08156400814475862	0.01738373972503604	0.3573593490495962	MenOA1	0.2085150451690614	OA	0.7554363141928468	14
18	6	0.06224582708535962	0.0072082458220894	0.27715996846784147	MenNorm7	0.27631695586777755	normal	0.6353286201737567	14
18	7	0.051410299384471905	0.0	0.29641959919482996	MenNorm6	0.2814159159874974	normal	0.5036003748869465	14
18	8	0.05216349904019468	0.0	0.3400788209470495	MenNorm7	0.16370549325170555	normal	0.6727975303158715	14
18	9	0.0487194367217426	0.0	0.37431969336471993	MenNorm6	0.25236941370224725	normal	0.5791014498793269	14
18	10	0.053548227108510676	0.023891798652004134	0.2069220971622429	MenOA5	0.13319685188637714	normal	0.6219070850683646	14
18	11	0.04251146018875355	0.0	0.24932399055025803	MenNorm5	0.408524213757065	normal	0.7786239225079702	14
18	12	0.043699867595400156	0.0009288693075121024	0.21892795760034128	MenNorm3	0.12503114515735414	normal	0.5068516716303862	14
18	13	0.048456937059781116	0.0	0.26694509897469776	MenOA1	0.15191632350020298	OA	0.7028246294527188	14
18	14	0.0392078004618189	0.0016168355028722122	0.1970092314379309	MenOA1	0.23442193575086076	OA	0.8272405197934821	14
18	15	0.012903303394677115	0.0	0.06388255206161221	MenNorm6	0.18809449190883565	normal	0.6234251514212386	14
18	16	0.0027309525132052127	0.0	0.010272316329508731	MenOA4	0.241846665930637	OA	0.6555725358004288	14
