dataset_id	tissue	axis	contrast	group_a	group_b	n_group_a	n_group_b	mean_delta_group_a_minus_group_b	p_value	fdr_bh	n_present_genes	smd_hedges_g	se_smd	ci95_low	ci95_high	direction
GSE55235	synovium	MSP_paracrine_K12P8	OA_vs_normal	OA	normal	10	10	-0.6825953402290499	0.0140192771139599	0.0401461117354307	17	-1.173806409369982	0.48813196891249633	-2.130545068438475	-0.21706775030148928	negative
GSE55235	synovium	MSP_angiogenic_K14P9	OA_vs_normal	OA	normal	10	10	-0.8319689789005955	0.0004396387526265	0.0030774712683859	19	-1.4923831553639846	0.5117292980780996	-2.49537257959706	-0.48939373113090934	negative
GSE55235	synovium	MSP_inflammatory_K14P10	OA_vs_normal	OA	normal	10	10	-1.352003861603961	0.0001826717911095	0.0014385403549877	19	-3.011226121960317	0.6722161267358754	-4.328769730362633	-1.6936825135580014	negative
GSE55235	synovium	Fibrocartilage_matrix_K14P4	OA_vs_normal	OA	normal	10	10	0.7668819391483328	0.0010079762403767	0.0045358930816953	15	1.6875406288271608	0.5283042414162498	0.6520643156513113	2.72301694200301	positive
GSE55235	synovium	Fibrotic_remodeling_K14P7	OA_vs_normal	OA	normal	10	10	0.940081671318452	0.0017062493689195	0.0067183568901209	18	2.0227844554914647	0.5600510133852368	0.9250844692564006	3.1204844417265285	positive
GSE55235	synovium	Generic_stress_K14P1	OA_vs_normal	OA	normal	10	10	-1.318278822196447	0.0001826717911095	0.0014385403549877	16	-3.691776623654629	0.7606505738686744	-5.182651748437231	-2.2009014988720272	negative
GSE55235	synovium	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_normal	OA	normal	10	10	-0.7586272854463776	0.0001826717911095	0.0014385403549877	25	-1.3942525433753443	0.5039824775037273	-2.3820581992826497	-0.4064468874680389	negative
GSE55457	synovium	MSP_paracrine_K12P8	OA_vs_normal	OA	normal	10	10	-0.7850299715785132	0.0036105143123296	0.0126368000931536	17	-1.198953191663739	0.48982674816376165	-2.1590136180647117	-0.23889276526276626	negative
GSE55457	synovium	MSP_angiogenic_K14P9	OA_vs_normal	OA	normal	10	10	-0.4234936749896223	0.1404650481583549	0.221232450849409	19	-0.7787558654131035	0.465667403301592	-1.6914639758842238	0.13395224505801684	negative
GSE55457	synovium	MSP_inflammatory_K14P10	OA_vs_normal	OA	normal	10	10	-1.1851659609469114	0.0005828399431792	0.0036718916420294	19	-1.9828669405156703	0.5560715707280347	-3.0727672191426185	-0.8929666618887222	negative
GSE55457	synovium	Fibrocartilage_matrix_K14P4	OA_vs_normal	OA	normal	10	10	0.434343554556992	0.0211339281291611	0.0532574988854859	15	0.95297576104717	0.4745805985037805	0.022797787979760287	1.8831537341145796	positive
GSE55457	synovium	Fibrotic_remodeling_K14P7	OA_vs_normal	OA	normal	10	10	-0.1506774294819263	0.6775849579524755	0.7854545454545455	18	-0.21796837639538652	0.4486866703412317	-1.0973942502642007	0.6614574974734275	negative
GSE55457	synovium	Generic_stress_K14P1	OA_vs_normal	OA	normal	10	10	-0.2914064043427703	0.3074894566186813	0.4724837991945591	16	-0.47717109237526095	0.45422988096455325	-1.3674616590657853	0.41311947431526336	negative
GSE55457	synovium	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_normal	OA	normal	10	10	-0.5753600874499964	0.025748080821108	0.0569810839171031	25	-1.0564732944367379	0.4806285185352502	-1.9985051907658282	-0.11444139810764753	negative
GSE89408	synovium	MSP_paracrine_K12P8	OA_vs_normal	OA	normal	22	28	0.541926649304667	0.0030671387080124	0.0113664552120462	19	0.7870009648472251	0.29600778267637123	0.20682571080153755	1.3671762188929129	positive
GSE89408	synovium	MSP_angiogenic_K14P9	OA_vs_normal	OA	normal	22	28	0.4192965436887705	0.0239867774495997	0.0569810839171031	18	0.591177414713328	0.29122046573921245	0.020385301864471517	1.1619695275621844	positive
