fibro_leiden	signature	gene	present	matched_var_name	mean_expression	fraction_expressing
10	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.9432442784309387	0.561143381228982
11	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.714682400226593	0.5381639113612381
12	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.7567872405052185	0.5611150822015726
13	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.39772674441337585	0.323852491173009
14	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.39789071679115295	0.2830960854092527
15	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.9510800242424011	0.6205923836389281
16	outer_zone_fibrous_like	COL1A1	True	COL1A1	1.0282195806503296	0.5765115379657084
17	outer_zone_fibrous_like	COL1A1	True	COL1A1	2.997257947921753	0.8856050955414013
18	outer_zone_fibrous_like	COL1A1	True	COL1A1	0.6732243895530701	0.445804871761825
0	outer_zone_fibrous_like	COL1A2	True	COL1A2	0.4800472855567932	0.4536791126386502
1	outer_zone_fibrous_like	COL1A2	True	COL1A2	1.0127297639846802	0.7423527621366611
2	outer_zone_fibrous_like	COL1A2	True	COL1A2	0.28074145317077637	0.379045996592845
3	outer_zone_fibrous_like	COL1A2	True	COL1A2	1.8197581768035889	0.8973709217611656
4	outer_zone_fibrous_like	COL1A2	True	COL1A2	0.26386842131614685	0.22702442159383032
5	outer_zone_fibrous_like	COL1A2	True	COL1A2	0.3528088927268982	0.31097804391217565
6	outer_zone_fibrous_like	COL1A2	True	COL1A2	1.0248262882232666	0.750465549348231
7	outer_zone_fibrous_like	COL1A2	True	COL1A2	2.9366257190704346	0.9890834659995451
8	outer_zone_fibrous_like	COL1A2	True	COL1A2	3.0320022106170654	0.9746213671715105
9	outer_zone_fibrous_like	COL1A2	True	COL1A2	3.0996007919311523	1.0
10	outer_zone_fibrous_like	COL1A2	True	COL1A2	2.2502553462982178	0.9365637419749312
11	outer_zone_fibrous_like	COL1A2	True	COL1A2	2.130539894104004	0.9599015124868097
12	outer_zone_fibrous_like	COL1A2	True	COL1A2	1.387535572052002	0.8164403145103646
13	outer_zone_fibrous_like	COL1A2	True	COL1A2	1.542523980140686	0.8481757551981169
14	outer_zone_fibrous_like	COL1A2	True	COL1A2	1.829483985900879	0.8747330960854093
15	outer_zone_fibrous_like	COL1A2	True	COL1A2	2.4553275108337402	0.9840150446638458
16	outer_zone_fibrous_like	COL1A2	True	COL1A2	2.149796962738037	0.8963516823514245
17	outer_zone_fibrous_like	COL1A2	True	COL1A2	3.650331974029541	0.9717197452229299
18	outer_zone_fibrous_like	COL1A2	True	COL1A2	2.4869985580444336	0.961979636551102
0	outer_zone_fibrous_like	COL3A1	True	COL3A1	0.40933987498283386	0.3699421965317919
1	outer_zone_fibrous_like	COL3A1	True	COL3A1	0.4009614884853363	0.40830923755897125
2	outer_zone_fibrous_like	COL3A1	True	COL3A1	0.3093125820159912	0.37350936967632026
3	outer_zone_fibrous_like	COL3A1	True	COL3A1	0.8648443222045898	0.6265441875197972
4	outer_zone_fibrous_like	COL3A1	True	COL3A1	0.0818103477358818	0.0714974293059126
5	outer_zone_fibrous_like	COL3A1	True	COL3A1	0.15426695346832275	0.1528942115768463
6	outer_zone_fibrous_like	COL3A1	True	COL3A1	0.8777369856834412	0.6440099317194289
7	outer_zone_fibrous_like	COL3A1	True	COL3A1	2.9628493785858154	0.9752103707073004
8	outer_zone_fibrous_like	COL3A1	True	COL3A1	2.7000322341918945	0.948014735980352
