leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
2	7	ANXA2	75.25167	1.460288	0.0	0.0
2	8	C1R	74.54535	2.0126414	0.0	0.0
2	9	S100A6	74.454124	1.2237656	0.0	0.0
2	10	CFD	74.27015	3.3706315	0.0	0.0
2	11	S100A10	74.10071	1.5935798	0.0	0.0
2	12	COL6A2	73.3034	1.6292665	0.0	0.0
2	13	MTRNR2L12	72.96801	1.8819035	0.0	0.0
2	14	COL1A2	72.96161	2.080778	0.0	0.0
2	15	TNXB	72.09335	2.271743	0.0	0.0
2	16	PLTP	70.949974	2.5858212	0.0	0.0
2	17	GPNMB	69.299416	2.1573327	0.0	0.0
2	18	FSTL1	69.28046	1.8689055	0.0	0.0
2	19	C1S	68.557625	1.7953109	0.0	0.0
2	20	MMP2	68.197205	2.6424358	0.0	0.0
2	21	CD81	67.2537	1.121304	0.0	0.0
2	22	GSN	67.16351	1.8091981	0.0	0.0
2	23	VCAN	65.65207	2.121322	0.0	0.0
2	24	SERPINF1	65.60239	2.4424138	0.0	0.0
2	25	CCDC80	65.29859	1.8812805	0.0	0.0
2	26	EFEMP1	64.551994	2.485094	0.0	0.0
2	27	IGFBP4	64.19906	2.4431694	0.0	0.0
2	28	CST3	63.585667	1.1956877	0.0	0.0
2	29	LIMA1	62.61639	1.7423391	0.0	0.0
2	30	PCOLCE	61.394966	1.6659135	0.0	0.0
2	31	COL1A1	61.27132	2.2279553	0.0	0.0
2	32	CYP1B1	61.093647	2.1724918	0.0	0.0
2	33	ANGPTL1	61.04158	2.324001	0.0	0.0
2	34	CALD1	60.173916	1.4428905	0.0	0.0
2	35	PRSS23	59.808323	2.2930524	0.0	0.0
2	36	LMNA	59.294865	1.3229889	0.0	0.0
2	37	COL6A1	58.485718	1.4323866	0.0	0.0
2	38	SCARA5	58.236164	2.7238157	0.0	0.0
2	39	TMSB10	58.03452	1.3985671	0.0	0.0
2	40	SFRP1	57.1356	3.0531924	0.0	0.0
2	41	S100A11	56.791107	1.0930164	0.0	0.0
2	42	FBN1	56.286102	1.9703053	0.0	0.0
2	43	FBLN2	56.176754	2.523815	0.0	0.0
2	44	CXCL12	55.923527	2.6820543	0.0	0.0
2	45	BASP1	55.881794	2.2589562	0.0	0.0
2	46	CPQ	54.829647	1.6330668	0.0	0.0
2	47	TPPP3	54.803165	2.041875	0.0	0.0
2	48	MFAP5	54.754436	3.4832885	0.0	0.0
2	49	COL6A3	54.58379	1.6637256	0.0	0.0
2	50	SFRP2	54.325684	3.406836	0.0	0.0
2	51	CD9	54.286236	1.159203	0.0	0.0
2	52	IGF1	53.512436	2.721912	0.0	0.0
2	53	CTSK	53.490437	1.4535742	0.0	0.0
2	54	AQP1	53.484154	1.8376315	0.0	0.0
2	55	LUM	52.722725	1.4560219	0.0	0.0
2	56	MFAP4	52.169353	2.287536	0.0	0.0
2	57	EPHX1	52.084778	1.9103326	0.0	0.0
2	58	MXRA8	51.88355	1.2979707	0.0	0.0
