fibro_leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
2	84	PLAAT3	31.282047	2.8552685	9.168594785494656e-190	2.59600271911665e-187
2	85	HSP90AB1	31.27537	0.84357727	7.989499630664316e-192	2.296170179567766e-189
2	86	EIF2S2	31.228888	1.2627174	2.848705379131378e-194	8.641977334279189e-192
2	87	GALNT15	31.2287	1.6782451	1.7737349604550667e-194	5.4239396102747575e-192
2	88	ST13	31.19537	1.0851614	3.781416431728297e-193	1.1118527822029416e-190
2	89	MAD1L1	31.13228	2.2555087	1.533669594667507e-190	4.374849745266477e-188
2	90	RGS10	31.076584	1.4017789	6.951437218877144e-193	2.0283338645370988e-190
2	91	NRN1	30.815744	1.4311785	1.7807301437494783e-189	4.968367081363508e-187
2	92	TOMM5	30.792221	1.7882427	2.005144109218255e-189	5.553958581939028e-187
2	93	BCKDHA	30.79187	3.2460487	7.840079539307043e-183	2.0112698007414258e-180
2	94	METAP2	30.707798	1.3394815	8.340059533748515e-189	2.2609250753049874e-186
2	95	SOD3	30.512924	1.2632686	1.4640952095179632e-184	3.833121595110591e-182
2	96	HEIH	30.384144	3.169844	5.532492151796443e-179	1.3821828758840996e-176
2	97	SOD2	30.383398	1.698651	4.4924200913180706e-185	1.184263900486496e-182
2	98	RSL24D1	30.370478	1.0847583	2.753054929889036e-183	7.110322408113413e-181
2	99	SLC25A37	30.29051	1.4417475	8.689673547393397e-184	2.259551576024253e-181
2	100	EIF4B	30.23986	1.1221105	2.2281213126928595e-182	5.67784727042479e-180
2	101	MRPL38	30.08459	2.6116006	1.5190676734318293e-178	3.770444334367418e-176
2	102	DBNDD2	29.74152	2.46271	7.027476148114227e-176	1.678864051784489e-173
2	103	ST6GALNAC6	29.634975	2.4667363	1.551965261804705e-174	3.595292131346851e-172
2	104	CDV3	29.55035	1.3277957	3.930451620472072e-176	9.508707768412942e-174
2	105	DCXR	29.548397	1.5704217	3.875076313319436e-176	9.434453312122427e-174
2	106	SNHG7	29.488655	1.2244169	6.774090866448365e-175	1.5885450876019774e-172
2	107	YTHDC1	29.419209	1.4096107	9.645606714517328e-175	2.2481321405835997e-172
2	108	SARS	29.11519	1.3261259	2.003593786631099e-171	4.6135764397703087e-169
2	109	DIS3	29.068813	1.5964144	1.5152164231227769e-170	3.447478128419347e-168
2	110	CHI3L1	28.93509	2.2730997	1.7526917803813574e-169	3.9641947108459765e-167
2	111	RPL23	28.732687	0.93874705	1.3108090734616777e-165	2.8962061285548654e-163
2	112	MICOS10	28.68361	1.7413757	1.2719812315983731e-166	2.860012388036248e-164
2	113	CTSL	28.627195	1.2952375	4.3713228485231485e-166	9.771312547482388e-164
2	114	EIF4EBP3	28.616758	2.9216566	5.311182207555657e-162	1.115464992865975e-159
2	115	GPRC5C	28.612362	1.819211	2.389960763919439e-165	5.2502218528768185e-163
2	116	SET	28.609982	1.1095294	7.616813319096187e-166	1.6927039087740272e-163
2	117	RPS29	28.576332	0.8180631	3.1390712015864386e-164	6.817491909627274e-162
2	118	RPL31	28.49174	0.9248721	1.9476893352857832e-163	4.182498716402459e-161
2	119	NCL	28.424686	1.0361849	1.8505027637721353e-163	3.996249584317859e-161
2	120	ZFAS1	28.376577	0.8763304	9.129436029107288e-162	1.8965411020467228e-159
3	1	GSN	93.22262	3.4864717	0.0	0.0
3	2	CFD	80.34832	4.968985	0.0	0.0
3	3	C1R	77.59906	2.9267707	0.0	0.0
3	4	C1S	77.52685	2.797587	0.0	0.0
3	5	SELENOP	69.4254	3.1057718	0.0	0.0
3	6	SERPING1	69.41938	2.2198157	0.0	0.0
3	7	GPX3	65.064674	2.9140787	0.0	0.0
3	8	MT-CO2	57.635754	2.0924613	0.0	0.0
3	9	ZFP36L2	57.098526	2.391134	0.0	0.0
3	10	MMP2	56.859516	3.2363725	0.0	0.0
3	11	CEBPD	55.69413	1.9417359	0.0	0.0
3	12	EFEMP1	55.179703	3.1596925	0.0	0.0
3	13	MT-CYB	54.98297	2.056282	0.0	0.0
3	14	GPNMB	54.86872	2.5648718	0.0	0.0
3	15	SERPINF1	54.60471	3.0845666	0.0	0.0
3	16	GLUL	53.715744	2.7657287	0.0	0.0
3	17	WISP2	53.056892	3.674723	0.0	0.0
3	18	PLTP	53.010048	3.094476	0.0	0.0
3	19	MT-ND2	51.873882	1.7171371	0.0	0.0
3	20	SRPX	51.009876	4.1300087	0.0	0.0
3	21	JUN	49.970592	1.9301343	0.0	0.0
3	22	FBLN2	49.526882	3.245352	0.0	0.0
3	23	SUN2	49.222134	2.058753	0.0	0.0
3	24	CYP1B1	48.013695	2.6477437	0.0	0.0
3	25	CYBRD1	47.637695	1.6818231	0.0	0.0
3	26	ADH5	47.34833	2.1137438	0.0	0.0
3	27	MGST1	46.822502	2.3883266	0.0	0.0
3	28	EBF1	46.783905	2.4689493	0.0	0.0
3	29	MT-ND1	46.355427	1.629824	0.0	0.0
3	30	C3	46.11355	4.138969	0.0	0.0
3	31	CXCL12	46.111263	3.5209947	0.0	0.0
3	32	HLA-E	45.852936	1.417916	0.0	0.0
3	33	PLPP3	45.218616	2.2617433	0.0	0.0
3	34	PODN	44.970932	3.9674463	0.0	0.0
3	35	EEF2	44.869854	1.2510387	0.0	0.0
3	36	VIT	44.84203	3.5107317	0.0	0.0
3	37	STOM	44.356712	2.0188544	0.0	0.0
3	38	MT-ND4	44.185596	1.5234072	0.0	0.0
3	39	MYC	44.03199	2.4790895	0.0	0.0
3	40	APOD	43.11476	3.4303913	0.0	0.0
3	41	CAT	42.241196	2.4374256	0.0	0.0
3	42	MMP14	42.103413	2.6483061	0.0	0.0
3	43	SCARA5	41.990818	2.8513222	0.0	0.0
3	44	MEDAG	41.78048	2.2207453	0.0	0.0
3	45	SNED1	41.695137	2.4339314	0.0	0.0
3	46	MYL9	41.669357	2.2413523	0.0	0.0
3	47	TSKU	41.272896	2.984446	0.0	0.0
3	48	PSAP	41.105198	1.2318057	0.0	0.0
3	49	LAMP1	40.903088	1.556806	0.0	0.0
3	50	EPHX1	40.636475	2.3597662	0.0	0.0
3	51	AGTR1	40.594482	4.098442	1.6936596774855666e-298	8.407590586001077e-296
3	52	CTSF	39.566692	1.6818106	1.663441884494215e-305	8.477787012387582e-303
3	53	GGT5	39.420044	3.4408224	1.8410136760216286e-290	8.581817896615943e-288
3	54	PTGFR	39.29754	2.902025	1.3196869526461576e-291	6.3054642597433415e-289
3	55	LTBP4	39.13118	1.652098	1.3693977919026256e-299	6.887350157590258e-297
3	56	CYGB	38.831444	2.326524	3.7525463683834063e-290	1.7281606311456303e-287
3	57	IRF1	38.645195	2.015623	2.307974927961139e-291	1.0891362178566245e-288
3	58	ACTB	38.449177	1.155356	4.4131889418553815e-290	2.0082111203985728e-287
3	59	SREBF1	38.140457	2.4427366	2.914632481974886e-279	1.280562206793196e-276
3	60	SFRP1	37.90412	2.9531925	2.0676907175977038e-278	8.981296589710753e-276
3	61	ZFP36	37.687645	1.6185035	1.9057932572470603e-280	8.470586216861818e-278
3	62	PLA2G2A	37.466988	2.7667086	1.7687920779048595e-277	7.596663863577005e-275
3	63	SASH1	37.46109	1.7920429	3.265980038081763e-276	1.371855175556454e-273
3	64	BASP1	37.131466	2.2402208	5.917199938954485e-271	2.3808321101746972e-268
3	65	PDGFRL	37.12051	1.7632958	8.186251674559528e-272	3.328843446897483e-269
3	66	DEPP1	37.03429	2.1854541	1.3331441716524206e-270	5.308135710129388e-268
3	67	DUSP1	36.63001	1.434976	1.6738010126674016e-266	6.528507133489669e-264
3	68	CYR61	36.143772	1.8542951	3.917141875364163e-260	1.4679297161168605e-257
3	69	HSD17B11	35.88442	2.0906668	6.015980707669512e-254	2.2325713259219364e-251
